no,판매일자,시간,상품명,단위,포장수량,구입단가,판매단가,수량,할인,판매금액,거래구분,고객명
1,2025-03-30,20:48:17,듀오덤 엑스트라씬 (제이웨이브),개,1,"5,400","10,000",1,0,"11,500",비씨카드,
1,2025-03-30,20:48:17,박카스맛 젤리,개,1,825,"1,500",1,0,"11,500",비씨카드,
2,2025-03-30,20:17:18,판텍큐플러스,개,1,693,"3,500",1,0,"3,500",국민카드,
3,2025-03-30,20:00:24,경방갈근탕액,개,1,495,"2,000",10,0,"20,000",하나카드,
4,2025-03-30,19:57:15,듀오덤 엑스트라씬 (제이웨이브),개,1,"5,400","10,000",1,0,"10,000",비씨카드,
5,2025-03-30,19:45:54,애크논크림,개,1,"5,940","12,000",1,0,"12,000",비씨카드,
6,2025-03-30,19:39:38,폼포미아쿠아드레싱,개,1,"2,750","6,000",1,0,"6,000",하나카드,
7,2025-03-30,19:38:40,캐롤온감 더블파워 카타플라스타 7매,개,1,"2,475","6,000",1,0,"6,000",하나카드,
8,2025-03-30,19:17:43,소청연연조엑스(소청룡탕) 5포,개,1,"2,000","7,000",1,0,"10,500",삼성카드,
8,2025-03-30,19:17:43,판텍큐플러스,개,1,693,"3,500",1,0,"10,500",삼성카드,
9,2025-03-30,19:03:22,노즈락,개,1,621,"2,000",3,0,"18,000",신한카드,
9,2025-03-30,19:03:22,코트리나캡슐,개,1,"1,265","5,000",1,0,"18,000",신한카드,
9,2025-03-30,19:03:22,트로겐연조엑스,개,1,"2,640","7,000",1,0,"18,000",신한카드,
10,2025-03-30,18:53:41,판피린큐액 20ml 5병,개,1,"2,475","3,500",2,0,"7,000",하나카드,
11,2025-03-30,18:44:35,우주멸균가아제5*5,개,1,650,"2,000",1,0,"2,000",국민카드,
12,2025-03-30,18:41:13,마그라민트리플액션120정,개,1,"27,500","80,000",1,"115,050","114,950",현금수납,
12,2025-03-30,18:41:13,맥스콘드로이틴,개,1,"77,000","150,000",1,"115,050","114,950",현금수납,
13,2025-03-30,18:25:42,광동생강쌍화,개,1,500,"1,000",1,0,"9,300",비씨카드,
13,2025-03-30,18:25:42,신텍스 패독산,개,1,344,800,6,0,"9,300",비씨카드,
13,2025-03-30,18:25:42,판텍큐플러스,개,1,693,"3,500",1,0,"9,300",비씨카드,
14,2025-03-30,18:02:05,콜대원 노즈 큐,개,1,"1,750","4,000",1,0,"4,000",국민카드,
15,2025-03-30,18:00:35,겔포스엘 6포,개,1,"3,339","6,000",1,0,"25,500",비씨카드,
15,2025-03-30,18:00:35,박카스맛 젤리,개,1,825,"1,500",1,0,"25,500",비씨카드,
15,2025-03-30,18:00:35,뽀로로비타민C,개,1,379,"2,000",1,0,"25,500",비씨카드,
15,2025-03-30,18:00:35,아파베린,개,1,580,"3,000",1,0,"25,500",비씨카드,
15,2025-03-30,18:00:35,콜대원 코프 큐,개,1,"1,750","4,000",2,0,"25,500",비씨카드,
15,2025-03-30,18:00:35,콜대원 키즈 코프,개,1,"1,650","5,000",1,0,"25,500",비씨카드,
16,2025-03-30,17:57:18,경방갈근탕액,개,1,495,"2,000",3,0,"9,500",현대카드,
16,2025-03-30,17:57:18,판텍큐플러스,개,1,693,"3,500",1,0,"9,500",현대카드,
17,2025-03-30,17:53:33,백초플러스시럽(포),개,1,"3,749","6,000",1,0,"6,000",삼성카드,
18,2025-03-30,17:51:37,마데카솔케어연고 6g 소형,개,1,"4,000","5,000",1,0,"12,000",국민카드,
18,2025-03-30,17:51:37,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"12,000",국민카드,
18,2025-03-30,17:51:37,파이에온정,개,1,750,"3,000",1,0,"12,000",국민카드,
19,2025-03-30,17:49:50,폼포미아쿠아표준형,개,1,"1,430","4,000",1,"2,427","1,573",현금수납,
20,2025-03-30,17:39:39,알유-21(RU-21),개,1,"2,750","6,000",2,0,"12,000",하나카드,
21,2025-03-30,17:29:17,장통환,개,1,"1,882","5,000",1,0,"5,000",현금수납,
22,2025-03-30,17:23:03,가네타인액 20mL,개,1,887,"3,000",1,0,"10,000",현금영수증,
22,2025-03-30,17:23:03,신텍스반하사심탕,개,1,210,"1,000",1,0,"10,000",현금영수증,
22,2025-03-30,17:23:03,웅기보,개,1,210,"1,000",1,0,"10,000",현금영수증,
22,2025-03-30,17:23:03,헛개파워,개,1,"1,400","5,000",1,0,"10,000",현금영수증,
23,2025-03-30,17:18:59,경방갈근탕액,개,1,495,"2,000",3,0,"16,500",비씨카드,
23,2025-03-30,17:18:59,소청연연조엑스(소청룡탕) 5포,개,1,"2,000","7,000",1,0,"16,500",비씨카드,
23,2025-03-30,17:18:59,판텍큐플러스,개,1,693,"3,500",1,0,"16,500",비씨카드,
