no,판매일자,시간,상품명,단위,포장수량,구입단가,판매단가,수량,할인,판매금액,거래구분,고객명
1,2025-04-27,20:47:41,지르텍정,개,1,"4,200","5,500",1,0,"11,500",신한카드,
1,2025-04-27,20:47:41,페리덱스연고,개,1,"2,268","6,000",1,0,"11,500",신한카드,
2,2025-04-27,20:37:02,노즈락,개,1,621,"2,000",3,0,"16,500",비씨카드,
2,2025-04-27,20:37:02,트로겐연조엑스,개,1,"2,640","7,000",1,0,"16,500",비씨카드,
2,2025-04-27,20:37:02,판텍큐플러스,개,1,693,"3,500",1,0,"16,500",비씨카드,
3,2025-04-27,19:45:34,스트렙실 허니앤레몬,개,1,"3,919","8,000",1,0,"8,000",신한카드,
4,2025-04-27,19:42:03,프렌즈 아이드롭 쿨,개,1,"3,300","6,000",1,0,"6,000",현대카드,
5,2025-04-27,19:36:25,이지엔6이브연질캡슐,개,1,"1,690","3,500",1,0,"3,500",신한카드,
6,2025-04-27,19:15:22,경방갈근탕액,개,1,495,"2,000",2,0,"14,000",신한카드,
6,2025-04-27,19:15:22,경방쌍화탕,개,1,532,"2,000",1,0,"14,000",신한카드,
6,2025-04-27,19:15:22,디나펜플라스타,개,1,"1,172","5,000",1,0,"14,000",신한카드,
6,2025-04-27,19:15:22,이지엔6 스트롱,개,1,"1,540","3,000",1,0,"14,000",신한카드,
7,2025-04-27,19:14:27,디나펜플라스타,개,1,"1,172","5,000",1,0,"5,000",현대카드,
8,2025-04-27,19:11:47,냉각시트,개,1,"1,800","10,000",1,0,"10,000",NH카드,
9,2025-04-27,19:04:16,프렌즈 아이드롭 쿨,개,1,"3,300","6,000",1,0,"6,000",국민카드,
10,2025-04-27,19:01:09,지르텍정,개,1,"4,200","5,500",2,0,"11,000",신한카드,
11,2025-04-27,18:44:11,향성파적환,개,1,289,800,6,0,"4,800",현대카드,
12,2025-04-27,18:33:55,프렌즈 아이드롭 순,개,1,"3,300","6,000",1,0,"6,000",비씨카드,
13,2025-04-27,18:17:56,나프원큐,개,1,880,"3,000",1,0,"3,000",국민카드,
14,2025-04-27,18:13:21,탁센연질캡슐,개,1,"1,100","3,000",1,0,"3,000",하나카드,
15,2025-04-27,18:06:52,와우 순면커버 대형*10개,개,1,"2,490","5,000",1,0,"5,000",하나카드,
16,2025-04-27,17:59:20,이브원큐 에스,개,1,770,"3,000",1,0,"3,000",현대카드,
17,2025-04-27,17:58:37,경방쌍화탕,개,1,532,"2,000",1,0,"5,500",신한카드,
17,2025-04-27,17:58:37,이지엔6프로연질캡슐,개,1,"1,690","3,500",1,0,"5,500",신한카드,
18,2025-04-27,17:44:53,비판텐 30g,개,1,"9,680","12,000",1,0,"12,000",NH카드,
19,2025-04-27,17:40:36,알지퀵,개,1,"1,000","4,000",1,0,"15,000",삼성카드,
19,2025-04-27,17:40:36,오트리빈 멘톨0.1% 분무제,개,1,"6,853","11,000",1,0,"15,000",삼성카드,
20,2025-04-27,17:34:27,멜리안정,개,1,"3,520","10,000",1,0,"10,000",신한카드,
21,2025-04-27,17:21:19,더마큐연고,개,1,"1,500","5,000",1,0,"10,000",삼성카드,
21,2025-04-27,17:21:19,디나펜플라스타,개,1,"1,172","5,000",1,0,"10,000",삼성카드,
22,2025-04-27,17:19:40,에어캅 부리형 블랙,개,1,400,"1,500",1,0,"8,500",현대카드,
22,2025-04-27,17:19:40,판텍큐플러스,개,1,693,"3,500",2,0,"8,500",현대카드,
23,2025-04-27,17:12:05,백초플러스시럽(포),개,1,"3,749","6,000",1,0,"6,000",비씨카드,
24,2025-04-27,16:52:09,드레싱밴드 살색 대형,개,1,"1,800","4,000",1,0,"13,000",삼성카드,
24,2025-04-27,16:52:09,드레싱밴드(중),개,1,"1,800","4,000",1,0,"13,000",삼성카드,
24,2025-04-27,16:52:09,케어리브 빅관절용,개,1,"3,000","5,000",1,0,"13,000",삼성카드,
25,2025-04-27,16:46:18,박카스D,개,1,561,700,2,0,"1,400",삼성카드,
